영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
제천 킴스os 정보 수집,2026/02/10,신규 병원,세종충북,제천 킴스정형외과 (https://app.notion.com/p/3b5fd9fcb8cd813b86dbe767e79f6d5c?pvs=21),정형외과 원장,이재덕,영업완료,,인사 드림,,완료
제천 서울os 정보 수집,2026/02/10,신규 병원,세종충북,제천 서울정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8173b09eed6fe610ec38?pvs=21),"관리팀 사무장, 구매, 원장",이재덕,영업완료,,인사 드림,,완료
단양 보건소 정보 수집,2026/02/10,신규 병원,세종충북,단양보건소 (https://app.notion.com/p/3b5fd9fcb8cd816bb92be66222bf31a1?pvs=21),Er 구매과 Er 김용현과장,이재덕,영업완료,,"인사 드림, 구매과 인사 드림 수기계약도 가능하다고함.",,완료
제천 한기정obgy 정보 수집,2026/02/10,신규 병원,세종충북,제천 한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81dfb5bee4665f9333a4?pvs=21),산부인과 원장,이재덕,영업완료,,인사 드림,,완료
제천 명지병원 정보 수집,2026/02/10,신규 병원,세종충북,제천명지병원 (https://app.notion.com/p/3b5fd9fcb8cd811f81d5cccde2960431?pvs=21),"관리팀 구매과 os gs, 구매",이재덕,영업완료,,"구매과안면이 생겨 이런저런이야기함. 납품시 일반대학병원과 같으며 결재가 9개월 회전이라고함. Os 김형수교수 인사 드림, gs 최정재 수술들어감.",,완료
제천 서울병원 정보 수집,2026/02/10,신규 병원,세종충북,제천 서울병원 (https://app.notion.com/p/3b5fd9fcb8cd81c2b3c4d97b0a2be4b0?pvs=21),정형외과 구매과 os,이재덕,영업완료,,"면담안 됨, 구매과 인사 드림.",,완료
제천 조성우내과 정보 수집,2026/02/10,신규 병원,세종충북,제천 조성우내과 (https://app.notion.com/p/3b5fd9fcb8cd816ab076ef85e0ea8931?pvs=21),내과 원장,이재덕,영업완료,,인사 드림,,완료
보은우리os 정보 수집,2026/02/11,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림,,완료
보은한양병원 정보 수집,2026/02/11,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,인사 드림,,완료
옥천성모 정보 수집,2026/02/11,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,인사 드림,,완료
청주성모 정보 수집,2026/02/11,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),일반외과 과장,이재덕,영업완료,,오전뵐수있을줄 알았으나못뵘,,완료
마디사랑 정보 수집,2026/02/11,신규 병원,세종충북,마디사랑 (https://app.notion.com/p/3b5fd9fcb8cd811fae7ae96efdaedc9b?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"바이크릴 사용제품 규격달라고했음, 서지소드 관심있어함.",,완료
뿌리병원 정보 수집,2026/02/11,신규 병원,세종충북,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,바이크릴 데모한줄 알았으나 안했음. 이야기함. 원장님께 말씀드린다고함.,,완료
다나여성 정보 수집,2026/02/11,신규 병원,세종충북,다나여성 (https://app.notion.com/p/3b5fd9fcb8cd81608181c6bf3655f1a8?pvs=21),"간호부장., 관리팀 사무장, 구매",이재덕,영업완료,,"수술들어감, 인사 드림",,완료
청주 성모 정보 수집,2026/02/11,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,인사 드림,,완료
삼성365os 정보 수집,2026/02/11,신규 병원,세종충북,삼성365정형외과 (https://app.notion.com/p/365-3b5fd9fcb8cd81699de2fe54df8ce78a?pvs=21),"관리팀 이사님, 구매",이재덕,영업완료,,이사님 부재중. 서지소드 브로셔제공.,,완료
하나병원 정보 수집,2026/02/19,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,Dtg 피드백몰어봄. 공급실 정리하느라 시간이 없었음. 다음주 중 재방문요청.,,완료
씨앤씨 재활병원 정보 수집,2026/02/19,신규 병원,세종충북,씨앤씨 재활병원 (https://app.notion.com/p/3b5fd9fcb8cd81f59279cbdb397829ba?pvs=21),정형외과 원장,이재덕,영업완료,,환자 밀려서 다음에 방문요청,,완료
현대병원 신규 아이템 소개,2026/02/19,신규 병원,세종충북,현대병원 (https://app.notion.com/p/3b5fd9fcb8cd810b9bdbd277014302cd?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드 디테일 설명.,,완료
해피맘obgy 정보 수집,2026/02/19,신규 병원,세종충북,해피맘산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81f28547cb74385936a3?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,신규os 정보 수집. 4월쯤 개원예정. 건물 3~6층까지 사용. 원장 3월부터 청주에 내려와 있을예정.,,완료
가경 유항외과 신규 아이템 소개,2026/02/19,신규 병원,세종충북,가경유항외과 (https://app.notion.com/p/3b5fd9fcb8cd818a8007f4013ec40737?pvs=21),일반외과 원장,이재덕,영업완료,,서지소드 디테일 설명. 사용제품있어 고려해보겠다고함.,,완료
청주성모병원 정보 수집,2026/02/19,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),일반외과 과장,이재덕,영업완료,,오후진료있어 방문했으나 수술들어감. 차주 수요일오전 방문드릴예정.,,완료
보은한양병원 샘플 제공,2026/02/20,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,회의들어감. 총무부장에게 펜코 소드 샘플및 내용전달함.,,완료
보은우리os 정보 수집,2026/02/20,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,팬코 소드 디테일 설명.,,완료
옥천성모병원 샘플 제공,2026/02/20,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"펜코 소드디테일, 수술실 보여주겠다함.",,완료
청주한국병원 정보 수집,2026/02/20,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 과장,이재덕,영업완료,,수술있어 인사만 드림.,,완료
청주성모병원 정보 수집,2026/02/20,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),산부인과 박연진과장,이재덕,영업완료,,"인사 드림, 위샾대리점이라 소개드림.",,완료
청주성모병원 샘플 제공,2026/02/20,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드 샘플제공. 피드백 주겠다함.,,완료
다나여성병원 정보 수집,2026/02/20,신규 병원,세종충북,다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd8151a796f3cdc8a9a1c3?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,어렵게 봤으나 바쁨. 하나는 써주겠다고함. 좋은거 가져와보라고함.,,완료
아산웰마취 정보 수집,2026/02/23,신규 병원,천안아산,아산웰마취 (https://app.notion.com/p/3b5fd9fcb8cd81ebb411f9659828e1df?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,병원소모품 디테일,,완료
청주 한국병원 정보 수집,2026/02/23,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"서지소드 디테일, 과장님 사용여부확인, 신과장 오후 재방문 하였으나 바쁘셔서 카탈로그만 전달함.",,완료
방서미즈닥터 정보 수집,2026/02/23,신규 병원,세종충북,방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd81c79919eea9bf144109?pvs=21),산부인과 원장,이재덕,영업완료,,"수금 확인, 매달 중순결재일.",,완료
마디사랑병원 정보 수집,2026/02/23,신규 병원,세종충북,마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd819082a8cd2c666e0e4a?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드는 안되겠다고함. 펜코전납업체와 관계가 좋음.,,완료
청주의료원 정보 수집,2026/02/23,기존 병원,세종충북,청주의료원 (https://app.notion.com/p/3b2fd9fcb8cd81c5a6aaf095c6e24261?pvs=21),정형외과 과장,이재덕,영업완료,,수술들어가서 못봄. 차후 서지소드 디테일 예정.,,완료
청주프라임병원 정보 수집,2026/02/23,신규 병원,세종충북,청주프라임병원 (https://app.notion.com/p/3b5fd9fcb8cd81bca014d5a0faab2cd6?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,인사 드림.,,완료
현대병원 정보 수집,2026/02/23,신규 병원,세종충북,현대병원 (https://app.notion.com/p/3b5fd9fcb8cd810b9bdbd277014302cd?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,대표원장 변경으로 인해 정신없다함. 차후방문예정.,,완료
새빛병원 정보 수집,2026/02/23,신규 병원,세종충북,새빛병원 (https://app.notion.com/p/3b5fd9fcb8cd81fabc63dd10bfb9deeb?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림,,완료
진천 우리마취통증 정보 수집,2026/02/24,신규 병원,세종충북,진천우리마취통증 (https://app.notion.com/p/3b5fd9fcb8cd815d9248f2b2dd9a4e22?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,병완소모품 리스트작업 아직 안됬다고함.,,완료
진천 바른os 정보 수집,2026/02/24,신규 병원,세종충북,진천 바른정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8107a7b1d3d3ee1cdb0f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림,,완료
충주 건국대병원 신규 아이템 소개,2026/02/24,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드 디테일,,완료
충주 의료원 신규 아이템 소개,2026/02/24,기존 병원,세종충북,충주의료원 (https://app.notion.com/p/30ebb0603a8844aca2912287cf1fca29?pvs=21),일반외과 과장,이재덕,영업완료,,서지소드 디테일하였으나 바쁘다고함.,,완료
충주 의료원 정보 수집,2026/02/24,기존 병원,세종충북,충주의료원 (https://app.notion.com/p/30ebb0603a8844aca2912287cf1fca29?pvs=21),정형외과 김범수 과장,이재덕,영업완료,,인사 드림,,완료
충주 별obgy 신규 아이템 소개,2026/02/24,신규 병원,세종충북,충주별산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81c8898ad6579fc4d258?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,서지소드 디테일 설명. 사용여부 알아보겠다고함.,,완료
충주 김앤권병원 정보 수집,2026/02/24,신규 병원,세종충북,충주 김앤권병원 (https://app.notion.com/p/3b5fd9fcb8cd81dd800ce1d2b4684a84?pvs=21),"관리팀 총무팀, 구매",이재덕,영업완료,,인사 드림,,완료
정성im 신규 아이템 소개,2026/02/25,신규 병원,세종충북,정성내과 (https://app.notion.com/p/3b5fd9fcb8cd810ba079f51c2317aba0?pvs=21),Im 원장,이재덕,영업완료,,수액킷 디테일 설명.,,완료
하임브릿지os 정보 수집,2026/02/25,신규 병원,세종충북,하임브릿지정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8134aa64c1051896a128?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림,,완료
마디사랑병원 신규 아이템 소개,2026/02/25,신규 병원,세종충북,마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd819082a8cd2c666e0e4a?pvs=21),"관리팀 구매과, 구매, 임상",이재덕,영업완료,,Prp 디테일,,완료
청주의료원 정보 수집,2026/02/25,기존 병원,세종충북,청주의료원 (https://app.notion.com/p/3b2fd9fcb8cd81c5a6aaf095c6e24261?pvs=21),일반외과 과장,이재덕,영업완료,,면담안 됨,,완료
하나병원 정보 수집,2026/02/25,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,Dtg 영업승인,,완료
Cnc재활병원 정보 수집,2026/02/25,신규 병원,세종충북,CnC재활 재활병원 (https://app.notion.com/p/CnC-3b5fd9fcb8cd8129a668fd2b6e9d30bd?pvs=21),재활 원장,이재덕,영업완료,,인사 드림,,완료
충북대병원 정보 수집,2026/02/25,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),"os, 가정의학과, 관리팀 구매과, 구매",이재덕,영업완료,,인사하러감. Os 피곤하다고 안 됨. 자주둘러볼예정,,완료
서산한마음산부인과 신규 아이템 소개,2026/02/26,신규 병원,서산당진,서산한마음산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81ceb3d7d93bd6a980c2?pvs=21),산부인과 최기욱원장님,이은필,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"원장님미팅 첫방문
[비고] 스트라이커 위샵으로 복강경 하심
산모가 많지 않음 펀치바이옵시샘플
[다음 방문 예정일] 2026/03/05
[제공 샘플] 바이옵시",,완료
서산엠산부인과 정보 수집,2026/02/26,신규 병원,서산당진,서산엠산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81ac903de9d7a9234c30?pvs=21),산부인과 윤덕용원장님,이은필,영업완료,,"처음방문, 펀치바이옵시들어가있음, 조리원도 같이운영함, 좌욕기 설명하고 관심보임, 담당간호사님 비급여제품 질건조관련 샘플갔다 주기로 함. 
[다음 방문 예정일] 2026/03/04",,완료
제천미래obgy 정보 수집,2026/02/26,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,,인사 드림,,완료
제천성지병원 정보 수집,2026/02/26,신규 병원,세종충북,제천성지병원 (https://app.notion.com/p/3b5fd9fcb8cd8140b276e7c4d6ef392b?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"인사 드림, 소모품관련 컨트롤은 직접챙긴다고함.",,완료
제천 킴스os 정보 수집,2026/02/26,신규 병원,세종충북,제천 킴스정형외과 (https://app.notion.com/p/3b5fd9fcb8cd813b86dbe767e79f6d5c?pvs=21),정형외과 원장,이재덕,영업완료,,Prp관련 여쭤봄,,완료
단양군보건소 정보 수집,2026/02/26,신규 병원,세종충북,단양군보건소 (https://app.notion.com/p/3b5fd9fcb8cd811cabfafa2728d8289e?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,수기계약관련 문의하려했으나 휴가여서 못봄,,완료
제천 명지병원 정보 수집,2026/02/26,신규 병원,세종충북,제천명지병원 (https://app.notion.com/p/3b5fd9fcb8cd811f81d5cccde2960431?pvs=21),정형외과 교수,이재덕,영업완료,,"인사 드림, gs는 수술들어가서 못봄",,완료
제천 한양병원 신규 아이템 소개,2026/02/26,신규 병원,세종충북,제천 한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81dd8ec5ee74f2414f00?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"서지소드 디테일, 펜코는 오는사람있다고함.",,완료
담소유 신규 아이템 소개,2026/03/03,기존 병원,서울경기,담소유병원 (https://app.notion.com/p/3b2fd9fcb8cd8189b20fed5f65b5992d?pvs=21),일반외과 간호부장님,이은필,영업완료,PENKO DF SURGI SWORD (https://app.notion.com/p/PENKO-DF-SURGI-SWORD-3b2fd9fcb8cd81b782dacd6ffbe4d5db?pvs=21),"친우메드 김창훈팀장 동행. 
펜코소드
[비고] 심점도 보다는 심박출력장치에 조금더 관심이 있음
추후 필요시에 데모요청예정
[제공 샘플] 펜코소드",,완료
마디사랑 정보 수집,2026/03/03,신규 병원,세종충북,마디사랑 (https://app.notion.com/p/3b5fd9fcb8cd811fae7ae96efdaedc9b?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,세종수술포 사용했다 불편해서 변경했다함. 커스텀된다고 말해줌.,,완료
뿌리병원 정보 수집,2026/03/03,신규 병원,세종충북,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드 디테일 설명.,,완료
유항외과 정보 수집,2026/03/03,신규 병원,세종충북,유항외과 (https://app.notion.com/p/3b5fd9fcb8cd81cdbd7ee6d12db7746e?pvs=21),일반외과 원장,이재덕,영업완료,,수술포 디테일 설명.,,완료
청주의료원 정보 수집,2026/03/03,기존 병원,세종충북,청주의료원 (https://app.notion.com/p/3b2fd9fcb8cd81c5a6aaf095c6e24261?pvs=21),일반외과 외과과장,이재덕,영업완료,,면담안 됨. Er들러서 인사하고 응급킷 디테일 설명.,,완료
현대병원 정보 수집,2026/03/03,신규 병원,세종충북,현대병원 (https://app.notion.com/p/3b5fd9fcb8cd810b9bdbd277014302cd?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드 디테일 설명.,,완료
하나병원 신규 아이템 소개,2026/03/03,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),일반외과 과장,이재덕,영업완료,,이번주 병원 전산망 변경으로 정신없다함. 금요일 재방문 예정.,,완료
해피맘obgy 정보 수집,2026/03/03,신규 병원,세종충북,해피맘산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81f28547cb74385936a3?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,신규os 병원관련 물어봄. 조동수코디 전화 안받음.,,완료
바로본os 정보 수집,2026/03/05,신규 병원,세종충북,바로본정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81649ae2e88e1e38051c?pvs=21),정형외과 사무장,이재덕,영업완료,,개원예정처 9~10시사이 나온다고하여 기다려봄. 만나긴 했으나 이미예정된 업체있다고만함. 더 알아볼예정임.,,완료
프라임병원 정보 수집,2026/03/05,신규 병원,세종충북,프라임병원 (https://app.notion.com/p/3b5fd9fcb8cd81deb8e4cb450d7be103?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,인사차방문,,완료
현대병원 신규 아이템 소개,2026/03/05,신규 병원,세종충북,현대병원 (https://app.notion.com/p/3b5fd9fcb8cd810b9bdbd277014302cd?pvs=21),"관리팀 총무팀장, 구매",이재덕,영업완료,,"강신우원장 근무시간 파악하고, 서지소드 디태일함.",,완료
아산웰마취 정보 수집,2026/03/05,신규 병원,천안아산,아산웰마취 (https://app.notion.com/p/3b5fd9fcb8cd81ebb411f9659828e1df?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,원장님 뵈려했으나 시술들어가심.,,완료
진천미래마취통증 정보 수집,2026/03/05,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,사용품목 메일보냈다고함. 안와서 다시 보내달라 요청함.,,완료
청주성모병원 정보 수집,2026/03/05,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),일반외과 최승봉과장,이재덕,영업완료,,Dtg 디테일 설명함. 이미알고있으나 사용여부는 아직 모른다고함.,,완료
뿌리병원 정보 수집,2026/03/05,신규 병원,세종충북,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),"관리팀 구매팀, 구매",이재덕,영업완료,,서지소드 피드백은 아직없다고함.,,완료
세종엔케이병원 신규 아이템 소개,2026/03/09,신규 병원,대전논산,세종엔케이병원 (https://app.notion.com/p/3b5fd9fcb8cd819fa289f1fa842d206d?pvs=21),정형외과 심요섭과장,이은필,영업완료,,"영업갔으나 원장님 업체미팅안한다고 하심 
데스크에 봉합킷트 및 소공포 브류슈어 드림
[다음 방문 예정일] 2026/03/31
[제공 샘플] 봉합킷트 및 소공포",,완료
마디사랑병원 정보 수집,2026/03/09,신규 병원,세종충북,마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd819082a8cd2c666e0e4a?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,콜라템프 사용 확인.,,완료
뿌리병원 정보 수집,2026/03/09,신규 병원,세종충북,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,콜라템프 사용 확인.,,완료
첼로병원 신규 아이템 소개,2026/03/09,신규 병원,세종충북,첼로병원 (https://app.notion.com/p/3b5fd9fcb8cd81e9ad37e9800b1f31ba?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,검진복 디테일 설명.,,완료
현대병원 정보 수집,2026/03/09,신규 병원,세종충북,현대병원 (https://app.notion.com/p/3b5fd9fcb8cd810b9bdbd277014302cd?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,콜라템프 사용 확인.,,완료
가경유항외과 정보 수집,2026/03/09,신규 병원,세종충북,가경유항외과 (https://app.notion.com/p/3b5fd9fcb8cd818a8007f4013ec40737?pvs=21),일반외과 원장,이재덕,영업완료,,수술팩상담,,완료
충주 세종os 정보 수집,2026/03/10,신규 병원,세종충북,충주 세종정형외과 (https://app.notion.com/p/3b5fd9fcb8cd812f8b20f7cb5cbe46ee?pvs=21),정형외과 사무장,이재덕,영업완료,,"하이겐트(Hygent) 디테일, 사용제품 물어봤으나 안알려줌.",,완료
충주 김훈ns 정보 수집,2026/03/10,신규 병원,세종충북,충주 김훈신경외과 (https://app.notion.com/p/3b5fd9fcb8cd81778427c505d2302c25?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림. 하이겐트(Hygent) 브로셔주고옴.,,완료
충주건대 정보 수집,2026/03/10,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent) 안들어와있음. 콜라템프 사용중.,,완료
충주 별산부인과 정보 수집,2026/03/10,신규 병원,세종충북,충주별산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81c8898ad6579fc4d258?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,하이겐트(Hygent) 디테일 설명. 3원장 뵈려했으나 안 됨.,,완료
충주 의료원 정보 수집,2026/03/10,기존 병원,세종충북,충주의료원 (https://app.notion.com/p/30ebb0603a8844aca2912287cf1fca29?pvs=21),정형외과 김범수과장,이재덕,영업완료,,인사 드림. 하이겐트(Hygent) 디테일 설명.,,완료
충주 건대 정보 수집,2026/03/10,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),정형외과 배종우 교수,이재덕,영업완료,,하이겐트(Hygent) 디테일 설명.,,완료
음성 무척편한os 정보 수집,2026/03/10,신규 병원,세종충북,음성무척편한정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81609d2efcfe327a83dd?pvs=21),"관리팀 원장 면담안됨. 사무장 인사함., 구매",이재덕,영업완료,,사무장 인사 드림.,,완료
진천 우리마취통증 정보 수집,2026/03/10,신규 병원,세종충북,진천우리마취통증 (https://app.notion.com/p/3b5fd9fcb8cd815d9248f2b2dd9a4e22?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,견적서자료 받음.,,완료
오창 호수병원 정보 수집,2026/03/10,신규 병원,세종충북,오창호수병원 (https://app.notion.com/p/3b5fd9fcb8cd817aba85c5616a2e4edd?pvs=21),정형외과 원장,이재덕,영업완료,,하이겐트(Hygent) 디테일 설명. 별게 다나온다고함.,,완료
마디사랑병원 정보 수집,2026/03/11,신규 병원,세종충북,마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd819082a8cd2c666e0e4a?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent) 디테일 설명.,,완료
청주 탑병원 정보 수집,2026/03/11,신규 병원,세종충북,청주탑병원 (https://app.notion.com/p/3b5fd9fcb8cd81099e2adcbba17ae8c9?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,면담안 됨,,완료
청주의료원 정보 수집,2026/03/11,기존 병원,세종충북,청주의료원 (https://app.notion.com/p/3b2fd9fcb8cd81c5a6aaf095c6e24261?pvs=21),정형외과 과장,이재덕,영업완료,,수술로 못봄,,완료
방서미즈닥터 수금,2026/03/11,신규 병원,세종충북,방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd81c79919eea9bf144109?pvs=21),산부인과 원장,이재덕,영업완료,,수금,,완료
청주성모병원 정보 수집,2026/03/11,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,서지소드 다음주 회의에 상정한다고 함.,,완료
다나산부인과 정보 수집,2026/03/11,신규 병원,세종충북,다나산부인과 (https://app.notion.com/p/3b5fd9fcb8cd810e9de9ff05fc1fc9ca?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림,,완료
서로손병원 정보 수집,2026/03/11,신규 병원,세종충북,서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd810e8a71d530d2c270ec?pvs=21),Fm 원장,이재덕,영업완료,,인사 드림,,완료
충북대학교 정보 수집,2026/03/11,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),"관리팀 중앙공급실, 구매",이재덕,영업완료,,하이겐트(Hygent) 디테일,,완료
담소유외과 신규 아이템 소개,2026/03/12,기존 병원,서울경기,담소유병원 (https://app.notion.com/p/3b2fd9fcb8cd8189b20fed5f65b5992d?pvs=21),일반외과 간호부장님,이은필,영업완료,,"메타소브관련 미팅 샘플 두개나감
[비고] 니들이조금다르지만, 처음단계이니 실이 어떤지 봐달라고 말씀 드리고 견적서나감
[다음 방문 예정일] 2026/03/19",,완료
서주태 신규 아이템 소개,2026/03/12,기존 병원,서울경기,서주태 비뇨기과 의원 (https://app.notion.com/p/3b2fd9fcb8cd81e1a2b0cf50b751133e?pvs=21),비뇨의학과 오지영선생님,이은필,영업완료,,"메타소브 샘플 두개나감
[비고] 선생님 질문사항은 이업체는 신규인지 오래된 곳인지 
급여라 금액은 상관 없으나 제품이 좋아야함

처음이니 실과니들좀 봐달라고 말씀드림.
써보시겠다고 함
[다음 방문 예정일] 2026/03/19",,완료
서로손병원 정보 수집,2026/03/13,신규 병원,세종충북,서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd810e8a71d530d2c270ec?pvs=21),Fm 원장,이재덕,영업완료,,소모품상담,,완료
21세기병원 신규 아이템 소개,2026/03/13,신규 병원,세종충북,21세기병원 (https://app.notion.com/p/21-3b5fd9fcb8cd81c2b258c7fda18a7996?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent)디테일,,완료
